InChI,SMILES,VapourPressure_kPa,Temperature_K
InChI=1S/H2O/h1H2,O,0.866642,277.937
InChI=1S/H2O/h1H2,O,0.849337,277.947
InChI=1S/H2O/h1H2,O,0.867901,277.972
InChI=1S/H2O/h1H2,O,0.871236,278.011
InChI=1S/H2O/h1H2,O,0.868603,278.075
InChI=1S/H2O/h1H2,O,1.211439,282.909
InChI=1S/H2O/h1H2,O,1.215273,282.944
InChI=1S/H2O/h1H2,O,1.196646,282.951
InChI=1S/H2O/h1H2,O,1.223685,283.034
InChI=1S/H2O/h1H2,O,1.686708,288.002
InChI=1S/H2O/h1H2,O,2.295159,292.84
InChI=1S/H2O/h1H2,O,2.306972,293.028
InChI=1S/H2O/h1H2,O,2.337089,293.102
InChI=1S/H2O/h1H2,O,4.162188,302.804
InChI=1S/H2O/h1H2,O,4.214262,303.069
InChI=1S/H2O/h1H2,O,4.237536,303.074
InChI=1S/H2O/h1H2,O,4.234858,303.097
InChI=1S/H2O/h1H2,O,7.24826,312.795
InChI=1S/H2O/h1H2,O,7.367251,313.109
InChI=1S/H2O/h1H2,O,7.371671,313.115
InChI=1S/H2O/h1H2,O,7.385673,313.156
InChI=1S/H2O/h1H2,O,9.084468,316.997
InChI=1S/H2O/h1H2,O,12.147251,322.816
InChI=1S/H2O/h1H2,O,12.333667,323.131
InChI=1S/H2O/h1H2,O,12.334959,323.137
InChI=1S/H2O/h1H2,O,12.344122,323.185
InChI=1S/H2O/h1H2,O,15.751357,328.151
InChI=1S/H2O/h1H2,O,19.630854,332.828
InChI=1S/H2O/h1H2,O,19.942722,333.177
InChI=1S/H2O/h1H2,O,19.95267,333.179
InChI=1S/H2O/h1H2,O,19.96909,333.238
InChI=1S/H2O/h1H2,O,25.060131,338.194
InChI=1S/H2O/h1H2,O,30.688811,342.808
InChI=1S/H2O/h1H2,O,31.23679,343.215
InChI=1S/H2O/h1H2,O,31.240569,343.216
InChI=1S/H2O/h1H2,O,31.269496,343.277
InChI=1S/H2O/h1H2,O,38.646827,348.227
InChI=1S/H2O/h1H2,O,46.647639,352.815
InChI=1S/H2O/h1H2,O,47.47208,353.234
InChI=1S/H2O/h1H2,O,47.461761,353.24
InChI=1S/H2O/h1H2,O,47.526956,353.309
InChI=1S/H2O/h1H2,O,57.928378,358.247
InChI=1S/H2O/h1H2,O,68.980897,362.793
InChI=1S/H2O/h1H2,O,70.356556,363.241
InChI=1S/H2O/h1H2,O,70.260715,363.259
InChI=1S/H2O/h1H2,O,70.344075,363.332
InChI=1S/H2O/h1H2,O,84.667324,368.271
"InChI=1S/C3H2F4/c4-2-1-3(5,6)7/h1-2H/b2-1-",F/C=C\C(F)(F)F,85.0,277.94
"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,6.38,297.9
"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,8.93,303.7
"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,21.91,321.2
"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,39.46,333.5
